X,Region,Country,Code,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
937,Latin America & Caribbean,Cayman Islands,CYM,Female,4.12,4.99, ,5.47,5.31,5.84,4.65,5.2, , , , , 
938,Latin America & Caribbean,Cayman Islands,CYM,Male,3.84,7.04, ,8.07,7.1,6.7,4.75,3.3, , , , , 
989,Sub-Saharan Africa,Chad,TCD,Female, , , , , , , , , , ,0.78, , 
990,Sub-Saharan Africa,Chad,TCD,Male, , , , , , , , , , ,1.42, , 
1015,Europe & Central Asia,Channel Islands,CHI,Female, , , , , , , , , , , , , 
1016,Europe & Central Asia,Channel Islands,CHI,Male, , , , , , , , , , , , , 
1041,Latin America & Caribbean,Chile,CHL,Female,12.13,13.42,9.92,8.87,8.13,7.18,7.13,7.14,7.27,7.46,7.99,8.02,11.44
1042,Latin America & Caribbean,Chile,CHL,Male,7.51,9.97,7.45,6.31,5.65,5.55,6.34,6.07,6.37,6.6,6.69,6.76,11
1067,East Asia & Pacific,China,CHN,Female, , , , , , , , , , , , , 
1068,East Asia & Pacific,China,CHN,Male, , , , , , , , , , , , , 
1093,Latin America & Caribbean,Colombia,COL,Female,13.46,14.5,14.2,13.1,12.66,11.67,11.03,10.84,11.21,11.51,11.79,12.75,19.04
1094,Latin America & Caribbean,Colombia,COL,Male,8.47,9.02,8.64,7.91,7.55,7.07,6.72,6.36,6.78,6.87,7.09,7.88,12.23
1119,Sub-Saharan Africa,Comoros,COM,Female, , , , , , ,10.44, , , , , , 
1120,Sub-Saharan Africa,Comoros,COM,Male, , , , , , ,6.68, , , , , , 
1197,Latin America & Caribbean,Costa Rica,CRI,Female,5.88,9.6,9.05,12.76,11.63,10.42,11.26,11.17,10.86,10.32,12.22,14.98,22.61
1198,Latin America & Caribbean,Costa Rica,CRI,Male,4.14,6.59,5.96,8.59,8.6,7.7,7.65,7.62,7.24,6.84,8.02,9.14,14.03
1223,Sub-Saharan Africa,Côte d'Ivoire,CIV,Female, , , , ,7.33,5.11, , ,3.36,3.87, , , 
1224,Sub-Saharan Africa,Côte d'Ivoire,CIV,Male, , , , ,7.13,3.55, , ,2.08,2.86, , , 
1249,Europe & Central Asia,Croatia,HRV,Female,10.35,10.71,12.31,13.72,15.98,16.76,18.27,16.9,13.79,11.91,9.34,7.16,7.58
1250,Europe & Central Asia,Croatia,HRV,Male,7.04,7.92,11.04,13.64,15.89,17.67,16.45,15.55,12.51,10.61,7.64,6.15,7.45
1275,Latin America & Caribbean,Cuba,CUB,Female,1.97,1.99,2.71,3.51,3.62,3.55,3.1,2.6,2.2,1.6,1.8, , 
1276,Latin America & Caribbean,Cuba,CUB,Male,1.35,1.47,2.37,2.97,3.37,3.13,2.4,2.3,1.9,1.7,1.6, , 
1301,Latin America & Caribbean,Curaçao,CUW,Female, , , , , , , , , , ,15.38, ,20.29999924
1302,Latin America & Caribbean,Curaçao,CUW,Male, , , , , , , , , , ,11.3, ,17.60000038
1327,Europe & Central Asia,Cyprus,CYP,Female,4.24,5.47,6.41,7.63,11.05,15.16,15.06,14.77,13.32,11.26,8.74,7.98,7.62
1328,Europe & Central Asia,Cyprus,CYP,Male,3.18,5.27,6.13,8.06,12.46,16.51,17.05,15.04,12.61,10.86,8.03,6.26,7.57
1353,Europe & Central Asia,Czech Republic,CZE,Female,5.61,7.73,8.46,7.89,8.21,8.29,7.39,6.07,4.67,3.58,2.8,2.38,2.95
1354,Europe & Central Asia,Czech Republic,CZE,Male,3.46,5.85,6.38,5.8,6.02,5.9,5.1,4.23,3.38,2.34,1.79,1.72,2.23
1379,Europe & Central Asia,Denmark,DNK,Female,4.07,5.67,6.76,7.62,7.79,7.67,7.14,6.53,6.38,6.05,5.35,5.27,5.98
1380,Europe & Central Asia,Denmark,DNK,Male,3.34,7.07,8.62,7.9,7.8,7.12,6.73,6.06,5.64,5.64,4.94,4.8,5.33
1405,Middle East & North Africa,Djibouti,DJI,Female, , , , , , , , , ,35.9, , , 
1406,Middle East & North Africa,Djibouti,DJI,Male, , , , , , , , , ,22.07, , , 
1431,Latin America & Caribbean,Dominica,DMA,Female, , , , , , , , , , , , , 
1432,Latin America & Caribbean,Dominica,DMA,Male, , , , , , , , , , , , , 
1457,Latin America & Caribbean,Dominican Republic,DOM,Female,7.37,7.89,7.04,8.35,9.21,10.52,9.69,10.84,10.65,8.07,9.03,9.51,8.93999958
1458,Latin America & Caribbean,Dominican Republic,DOM,Male,3.22,4.12,4.12,4.69,5.15,5.34,4.83,5.45,4.99,4.29,3.67,4.07,4.159999847
1483,Latin America & Caribbean,Ecuador,ECU,Female,4.98,5.86,4.95,4.27,3.81,3.65,4.13,4.5,5.81,4.9,4.38,4.58,7.32
1484,Latin America & Caribbean,Ecuador,ECU,Male,3.2,3.77,3.52,2.93,2.85,2.7,3.06,3.01,3.7,3.05,2.92,3.25,5.27
1509,Middle East & North Africa,"Egypt, Arab Rep.",EGY,Female,18.88,22.38,22.11,22.44,24.01,24.17,24,24.81,23.58,23.01,21.34,21.61, 
1510,Middle East & North Africa,"Egypt, Arab Rep.",EGY,Male,5.53,5.04,4.77,8.77,9.23,9.8,9.73,9.39,8.84,8.22,6.77,4.83, 
1535,Latin America & Caribbean,El Salvador,SLV,Female,3.63,4.93,4.16,3.41,3.3,3.33,3.14,3.47,3.85,4,3.75,4.38, 
1536,Latin America & Caribbean,El Salvador,SLV,Male,7.46,9.03,5.42,4.92,4.23,3.96,4.89,4.37,4.83,4.65,4.19,4.02, 
1561,Sub-Saharan Africa,Equatorial Guinea,GNQ,Female, , , , , , , , , , , , , 
1562,Sub-Saharan Africa,Equatorial Guinea,GNQ,Male, , , , , , , , , , , , , 
1587,Sub-Saharan Africa,Eritrea,ERI,Female, , , , , , , , , , , , , 
1588,Sub-Saharan Africa,Eritrea,ERI,Male, , , , , , , , , , , , , 
1613,Europe & Central Asia,Estonia,EST,Female,5.14,10.31,14.1,11.58,9.1,8.16,6.81,6.13,6.07,5.3,5.32,4.84,6.62
1614,Europe & Central Asia,Estonia,EST,Male,5.76,16.68,19.27,13.06,10.91,9.09,7.86,6.24,7.42,6.19,5.41,4.07,6.97
1639,Sub-Saharan Africa,Eswatini,SWZ,Female, , , , , , , , ,24.42, , , , 
1640,Sub-Saharan Africa,Eswatini,SWZ,Male, , , , , , , , ,21.03, , , , 
1665,Sub-Saharan Africa,Ethiopia,ETH,Female, , , , , ,2.94, , , , , , , 
1666,Sub-Saharan Africa,Ethiopia,ETH,Male, , , , , ,1.65, , , , , , , 
1691,Europe & Central Asia,Faroe Islands,FRO,Female, , , , , , , , , , , , , 
1692,Europe & Central Asia,Faroe Islands,FRO,Male, , , , , , , , , , , , , 
